Year,expert,flexibl,network,neural,artifici,fuzzi,system,plan,distribut,function,model,base,wireless,rfid,optim,detect,monitor,cloud,thing,smart
1995,2,1,1,1,1,0,10,2,1,0,0,0,0,0,0,0,0,0,0,1
1996,1,1,2,2,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
1997,4,3,8,7,8,6,26,2,2,0,1,0,0,0,1,0,3,0,0,0
1998,2,4,3,2,2,1,14,0,0,0,2,0,0,0,1,0,0,0,0,0
1999,1,3,3,3,0,0,8,1,0,0,1,0,0,1,0,0,0,0,0,2
2000,1,0,7,6,1,2,16,5,4,4,2,0,0,1,0,0,2,0,0,1
2001,1,4,9,5,0,7,24,3,3,0,7,3,0,0,1,0,1,0,0,2
2002,0,2,1,1,1,1,14,0,2,0,0,0,0,0,0,0,0,0,0,1
2003,0,1,3,2,1,1,13,1,2,2,5,0,0,0,1,0,1,0,0,5
2004,0,5,2,1,2,1,14,1,0,0,5,2,1,0,2,0,1,0,0,2
2005,0,2,0,0,1,2,11,2,0,0,3,0,0,0,1,0,0,0,0,2
2006,1,1,5,3,0,1,11,3,0,0,2,1,0,0,0,0,1,0,0,1
2007,0,3,3,1,1,1,11,1,1,1,5,1,1,0,1,0,0,0,0,3
2008,0,7,1,1,1,0,27,1,5,1,3,0,5,2,2,1,5,0,0,5
2009,1,1,2,0,0,0,18,1,4,1,6,0,0,1,4,0,1,0,0,0
2010,0,1,5,1,0,0,13,1,3,1,2,0,4,6,3,0,1,0,1,2
2011,0,1,2,0,0,2,16,0,2,1,3,0,2,2,2,1,2,1,0,1
2012,0,4,1,1,1,2,18,1,0,0,4,0,0,4,1,3,7,0,2,3
2013,0,2,5,2,0,1,16,7,0,1,3,1,0,3,2,0,4,4,0,4
2014,0,1,3,0,0,3,26,4,1,1,6,1,2,3,5,0,3,6,6,17
2015,0,4,9,1,2,3,53,6,3,0,14,3,2,4,10,1,9,9,2,32
2016,1,5,7,1,1,1,61,5,1,2,15,2,0,4,9,1,7,8,10,43
